	r	theta	Er	Et
0	3.0	0.0	-0.0283456838910572	-0.6666666666666666
1	3.0	0.06283185307179587	0.05334095997025751	-0.6614098008763186
2	3.0	0.12566370614359174	0.13306648636632779	-0.6457221074190874
3	3.0	0.1884955592153876	0.2094926452924728	-0.6198509905921675
4	3.0	0.25132741228718347	0.28134158490903616	-0.5842044533625758
5	3.0	0.3141592653589793	0.3474215059887875	-0.5393446629166316
6	3.0	0.3769911184307752	0.40665067712715164	-0.4859790849476077
7	3.0	0.4398229715025711	0.45807873361722873	-0.4249493264991264
8	3.0	0.5026548245743669	0.500904101571269	-0.35721786331933103
9	3.0	0.5654866776461628	0.5344864142414663	-0.28385286104338175
10	3.0	0.6283185307179586	0.5583529848004476	-0.2060113295832983
11	3.0	0.6911503837897546	0.5721988196028116	-0.12492087639048301
12	3.0	0.7539822368615504	0.575880309084924	-0.041860346352875534
13	3.0	0.8168140899333463	0.569403569405742	0.0418603463528756
14	3.0	0.8796459430051422	0.552909301911686	0.12492087639048322
15	3.0	0.942477796076938	0.5266567945865774	0.20601132958329837
16	3.0	1.0053096491487339	0.49101007295301535	0.2838528610433818
17	3.0	1.0681415022205298	0.4464289943909483	0.35721786331933125
18	3.0	1.1309733552923256	0.3934671380737753	0.4249493264991265
19	3.0	1.1938052083641215	0.33277671443365797	0.4859790849476078
20	3.0	1.2566370614359172	0.2651186734251243	0.5393446629166315
21	3.0	1.3194689145077132	0.1913742217559644	0.5842044533625758
22	3.0	1.3823007675795091	0.11255268390607531	0.6198509905921676
23	3.0	1.4451326206513049	0.029790620739808538	0.6457221074190874
24	3.0	1.5079644737231008	-0.05566137484717626	0.6614098008763186
25	3.0	1.5707963267948968	-0.14246496265686645	0.6666666666666666
26	3.0	1.6336281798666925	-0.22923077958466542	0.6614098008763186
27	3.0	1.6964600329384885	-0.314560098958116	0.6457221074190874
28	3.0	1.7592918860102844	-0.3970846835456765	0.6198509905921675
29	3.0	1.8221237390820801	-0.4754990803899606	0.5842044533625758
30	3.0	1.884955592153876	-0.5485825629899077	0.5393446629166315
31	3.0	1.9477874452256718	-0.615211715699302	0.4859790849476077
32	3.0	2.0106192982974678	-0.6743676823407907	0.42494932649912637
33	3.0	2.0734511513692637	-0.7251430478554144	0.35721786331933086
34	3.0	2.1362830044410597	-0.7667518454855404	0.2838528610433814
35	3.0	2.199114857512855	-0.7985431631613138	0.20601132958329837
36	3.0	2.261946710584651	-0.8200159371653659	0.12492087639048309
37	3.0	2.324778563656447	-0.8308313026481873	0.04186034635287547
38	3.0	2.387610416728243	-0.8308198037603054	-0.04186034635287581
39	3.0	2.450442269800039	-0.8199830114989282	-0.12492087639048342
40	3.0	2.5132741228718345	-0.7984910847661975	-0.20601132958329815
41	3.0	2.5761059759436304	-0.7666783298096136	-0.28385286104338175
42	3.0	2.6389378290154264	-0.7250378242289712	-0.3572178633193312
43	3.0	2.7017696820872223	-0.6742147145681265	-0.42494932649912665
44	3.0	2.7646015351590183	-0.6149970843774222	-0.48597908494760794
45	3.0	2.8274333882308142	-0.5483037351926834	-0.5393446629166319
46	3.0	2.8902652413026098	-0.4751692184478562	-0.5842044533625758
47	3.0	2.9530970943744057	-0.3967270518853028	-0.6198509905921676
48	3.0	3.0159289474462017	-0.3141918537350086	-0.6457221074190874
49	3.0	3.0787608005179976	-0.2288405507497568	-0.6614098008763186
50	3.0	3.1415926535897936	-0.1419925378307429	-0.6666666666666666
51	3.0	3.204424506661589	-0.05498889923613692	-0.6614098008763186
52	3.0	3.267256359733385	0.03082882594291181	-0.6457221074190874
53	3.0	3.330088212805181	0.11413976778073431	-0.6198509905921675
54	3.0	3.392920065876977	0.19366438127808583	-0.5842044533625755
55	3.0	3.455751918948773	0.26818445165955884	-0.5393446629166314
56	3.0	3.518583772020569	0.33656221910868034	-0.48597908494760733
57	3.0	3.5814156250923643	0.39775826333527275	-0.4249493264991264
58	3.0	3.6442474781641603	0.4508477872719707	-0.357217863319331
59	3.0	3.7070793312359562	0.49503505471149234	-0.28385286104338153
60	3.0	3.769911184307752	0.5296658101691887	-0.2060113295832979
61	3.0	3.832743037379548	0.5542374928451088	-0.12492087639048259
62	3.0	3.8955748904513436	0.5684070493872051	-0.04186034635287555
63	3.0	3.9584067435231396	0.5719962118064048	0.04186034635287573
64	3.0	4.0212385965949355	0.5649941788031931	0.12492087639048334
65	3.0	4.084070449666731	0.5475576675868399	0.20601132958329807
66	3.0	4.1469023027385274	0.5200083224854923	0.2838528610433822
67	3.0	4.209734155810323	0.48282751556597336	0.3572178633193311
68	3.0	4.272566008882119	0.4366486301818706	0.42494932649912703
69	3.0	4.335397861953915	0.3822469523951111	0.48597908494760783
70	3.0	4.39822971502571	0.3205273237090478	0.5393446629166315
71	3.0	4.461061568097507	0.2525097486661243	0.584204453362576
72	3.0	4.523893421169302	0.17931318809442987	0.6198509905921676
73	3.0	4.586725274241099	0.10213779285852043	0.6457221074190876
74	3.0	4.649557127312894	0.022245855143883664	0.6614098008763186
75	3.0	4.71238898038469	-0.05905822218180067	0.6666666666666666
76	3.0	4.775220833456486	-0.14044862217077486	0.6614098008763185
77	3.0	4.838052686528282	-0.2205991526625517	0.6457221074190874
78	3.0	4.900884539600078	-0.29820429787838276	0.6198509905921673
79	3.0	4.9637163926718735	-0.371999952362414	0.5842044533625756
80	3.0	5.026548245743669	-0.4407835136917049	0.5393446629166317
81	3.0	5.089380098815465	-0.5034330213689686	0.48597908494760733
82	3.0	5.152211951887261	-0.5589250444153704	0.4249493264991265
83	3.0	5.215043804959057	-0.6063510414030193	0.35721786331933053
84	3.0	5.277875658030853	-0.644931942211111	0.2838528610433816
85	3.0	5.340707511102649	-0.6740307296866344	0.2060113295832974
86	3.0	5.403539364174445	-0.693162832461145	0.12492087639048266
87	3.0	5.46637121724624	-0.7020041760728413	0.04186034635287563
88	3.0	5.529203070318037	-0.7003967769609232	-0.04186034635287624
89	3.0	5.592034923389832	-0.6883518024889135	-0.12492087639048327
90	3.0	5.6548667764616285	-0.6660500580703599	-0.20601132958329912
91	3.0	5.717698629533424	-0.6338398977240711	-0.28385286104338214
92	3.0	5.7805304826052195	-0.5922325852711197	-0.35721786331933103
93	3.0	5.843362335677016	-0.5418951573512221	-0.4249493264991269
94	3.0	5.906194188748811	-0.4836408545900239	-0.4859790849476078
95	3.0	5.969026041820608	-0.4184171931699421	-0.5393446629166322
96	3.0	6.031857894892403	-0.34729174742187285	-0.584204453362576
97	3.0	6.094689747964199	-0.27143571062376637	-0.6198509905921675
98	3.0	6.157521601035995	-0.19210530586869334	-0.6457221074190876
99	3.0	6.220353454107791	-0.11062114413446594	-0.6614098008763186
100	3.05	0.0	-0.02809737140436892	-0.6326235794016289
101	3.05	0.06283185307179587	0.05165263199885972	-0.6277991409945847
102	3.05	0.12566370614359174	0.12947707073259374	-0.6130954581680531
103	3.05	0.1884955592153876	0.20406815320146876	-0.5887429180851174
104	3.05	0.25132741228718347	0.27417736877524634	-0.5551226745387207
105	3.05	0.3141592653589793	0.33864065328805704	-0.5127606398325991
106	3.05	0.3769911184307752	0.3964019481415537	-0.46231935554709824
107	3.05	0.4398229715025711	0.4465340876609447	-0.40458790698669117
108	3.05	0.5026548245743669	0.48825586644759555	-0.3404700612234025
109	3.05	0.5654866776461628	0.5209441610695775	-0.27097080503128673
110	3.05	0.6283185307179586	0.5441401740088103	-0.19718143704794863
111	3.05	0.6911503837897546	0.5575492832902318	-0.12026333482144588
112	3.05	0.7539822368615504	0.5610346302284963	-0.04143048478484219
113	3.05	0.8168140899333463	0.5546054105193066	0.038069150993479815
114	3.05	0.8796459430051422	0.5384017265796759	0.1169733346454974
115	3.05	0.942477796076938	0.5126786173044973	0.19402614808630436
116	3.05	1.0053096491487339	0.4777922684378677	0.26799918434809816
117	3.05	1.0681415022205298	0.43419119872898704	0.3377128643478386
118	3.05	1.1309733552923256	0.38241428083222506	0.4020572317856694
119	3.05	1.1938052083641215	0.32309583108488193	0.4600114474969531
120	3.05	1.2566370614359172	0.25697595707882104	0.5106611773454683
121	3.05	1.3194689145077132	0.18491237746763478	0.5532131897806797
122	3.05	1.3823007675795091	0.10788864411174548	0.5870067591065925
123	3.05	1.4451326206513049	0.027013666251218538	0.6115218627934876
124	3.05	1.5079644737231008	-0.05649106349066735	0.6263845649281056
125	3.05	1.5707963267948968	-0.14131731653762794	0.6313702602332075
126	3.05	1.6336281798666925	-0.22610641687340657	0.6264054960333025
127	3.05	1.6964600329384885	-0.30949046091684224	0.6115688467405896
128	3.05	1.7592918860102844	-0.3901317125002607	0.5870908528715572
129	3.05	1.8221237390820801	-0.4667544067815549	0.5533525299431158
130	3.05	1.884955592153876	-0.5381661684001038	0.5108816274711189
131	3.05	1.9477874452256718	-0.6032700611937813	0.4603458483780934
132	3.05	2.0106192982974678	-0.6610713334138518	0.40254264755250935
133	3.05	2.0734511513692637	-0.7106838727254028	0.338385851250976
134	3.05	2.1362830044410597	-0.7513398909903846	0.2688898891022566
135	3.05	2.199114857512855	-0.7824033077829684	0.19515264380942288
136	3.05	2.261946710584651	-0.8033843873938407	0.11833771457265287
137	3.05	2.324778563656447	-0.8139519586238064	0.03965641375276657
138	3.05	2.387610416728243	-0.8139404998594046	-0.03965061835324668
139	3.05	2.450442269800039	-0.8033516511036676	-0.11833242077825537
140	3.05	2.5132741228718345	-0.7823517258799118	-0.19514734864495567
141	3.05	2.5761059759436304	-0.7512673121266256	-0.26888295604794016
142	3.05	2.6389378290154264	-0.7105800346961411	-0.338375486337915
143	3.05	2.7017696820872223	-0.6609200653847158	-0.4025283747856727
144	3.05	2.7646015351590183	-0.6030572455922056	-0.46032942932477783
145	3.05	2.8274333882308142	-0.5378891484345016	-0.5108665950753766
146	3.05	2.8902652413026098	-0.46642642593812345	-0.553342249595283
147	3.05	2.9530970943744057	-0.38977639044145973	-0.5870858455855718
148	3.05	3.0159289474462017	-0.3091255661730691	-0.6115645942803782
149	3.05	3.0787608005179976	-0.22572135143522035	-0.6263919052965911
150	3.05	3.1415926535897936	-0.14085264830621483	-0.6313334397663268
151	3.05	3.204424506661589	-0.05582955931595579	-0.6263107561217911
152	3.05	3.267256359733385	0.028037365541947745	-0.6114025476900887
153	3.05	3.330088212805181	0.10945776518013539	-0.5868434355669239
154	3.05	3.392920065876977	0.18718163864181292	-0.5530202868981545
155	3.05	3.455751918948773	0.2600188830136063	-0.5104661022858686
156	3.05	3.518583772020569	0.32685797746551004	-0.45985159500813255
157	3.05	3.5814156250923643	0.3866834571201605	-0.40197461625420344
158	3.05	3.6442474781641603	0.43859181944485126	-0.3377475840642961
159	3.05	3.7070793312359562	0.48180562537201266	-0.2681830966642464
160	3.05	3.769911184307752	0.5156856313889813	-0.1943779575865439
161	3.05	3.832743037379548	0.5397407687371725	-0.11749587627717985
162	3.05	3.8955748904513436	0.5536357761991417	-0.03874911938179907
163	3.05	3.9584067435231396	0.5571963554736525	0.04062060518679276
164	3.05	4.0212385965949355	0.5504117906331185	0.11936173251368774
165	3.05	4.084070449666731	0.5334349999837951	0.19623257993889967
166	3.05	4.1469023027385274	0.5065800057426739	0.2700209280475347
167	3.05	4.209734155810323	0.4703168555868098	0.33956313743388983
168	3.05	4.272566008882119	0.42526408569237617	0.4037625009178481
169	3.05	4.335397861953915	0.3721788474710286	0.4616065398442048
170	3.05	4.39822971502571	0.3119448473085973	0.5121829711149628
171	3.05	4.461061568097507	0.2455582883366625	0.5546940944217836
172	3.05	4.523893421169302	0.17411204003934921	0.5884693728403099
173	3.05	4.586725274241099	0.09877828455015447	0.6129760074744646
174	3.05	4.649557127312894	0.020789909996316996	0.6278273394956226
175	3.05	4.71238898038469	-0.05857905542623084	0.6327889474914948
176	3.05	4.775220833456486	-0.13803365992666558	0.6277823435962065
177	3.05	4.838052686528282	-0.21627857910114706	0.6128862098086217
178	3.05	4.900884539600078	-0.2920386795673513	0.5883351551426679
179	3.05	4.9637163926718735	-0.3640792724721814	0.5545160130600252
