	x	y	Ex	Ey
0	-8.0	-8.0	0.0	0.0
1	-7.838383838383838	-8.0	0.0	0.0
2	-7.6767676767676765	-8.0	0.0	0.0
3	-7.515151515151516	-8.0	0.0	0.0
4	-7.353535353535354	-8.0	0.0	0.0
5	-7.191919191919192	-8.0	0.0	0.0
6	-7.03030303030303	-8.0	0.0	0.0
7	-6.8686868686868685	-8.0	0.0	0.0
8	-6.707070707070707	-8.0	0.0	0.0
9	-6.545454545454545	-8.0	0.0	0.0
10	-6.383838383838384	-8.0	0.0	0.0
11	-6.222222222222222	-8.0	0.0	0.0
12	-6.0606060606060606	-8.0	0.0	0.0
13	-5.898989898989899	-8.0	0.0	0.0
14	-5.737373737373737	-8.0	0.0	0.0
15	-5.575757575757576	-8.0	0.0	0.0
16	-5.4141414141414135	-8.0	0.0	0.0
17	-5.252525252525253	-8.0	0.0	0.0
18	-5.090909090909091	-8.0	0.0	0.0
19	-4.929292929292929	-8.0	0.0	0.0
20	-4.767676767676767	-8.0	0.0	0.0
21	-4.6060606060606055	-8.0	0.0	0.0
22	-4.444444444444445	-8.0	0.0	0.0
23	-4.282828282828282	-8.0	0.0	0.0
24	-4.121212121212121	-8.0	0.0	0.0
25	-3.9595959595959593	-8.0	0.0	0.0
26	-3.7979797979797976	-8.0	0.0	0.0
27	-3.636363636363636	-8.0	0.0	0.0
28	-3.474747474747474	-8.0	0.0	0.0
29	-3.313131313131313	-8.0	0.0	0.0
30	-3.1515151515151514	-8.0	0.0	0.0
31	-2.9898989898989896	-8.0	0.0	0.0
32	-2.828282828282828	-8.0	0.0	0.0
33	-2.666666666666666	-8.0	0.0	0.0
34	-2.5050505050505043	-8.0	0.0	0.0
35	-2.3434343434343425	-8.0	0.0	0.0
36	-2.1818181818181817	-8.0	0.0	0.0
37	-2.02020202020202	-8.0	0.0	0.0
38	-1.8585858585858581	-8.0	0.0	0.0
39	-1.6969696969696964	-8.0	0.0	0.0
40	-1.5353535353535346	-8.0	0.0	0.0
41	-1.3737373737373728	-8.0	0.0	0.0
42	-1.212121212121212	-8.0	-0.38763865094283395	0.02975146792931135
43	-1.0505050505050502	-8.0	-0.6222082969738028	0.06926578642536986
44	-0.8888888888888884	-8.0	-0.6567470959990158	0.07642045993404706
45	-0.7272727272727266	-8.0	-0.4784132428279345	0.056464337462078816
46	-0.5656565656565649	-8.0	-0.1476111894394437	0.02470439808543835
47	-0.4040404040404031	-8.0	0.22111100372033718	-0.0016327540202348296
48	-0.2424242424242422	-8.0	0.49886655840074484	-0.011770083853353904
49	-0.08080808080808044	-8.0	0.5888918666349716	-0.005976849374253149
50	0.08080808080808133	-8.0	-0.5888918666349716	0.005766624219206533
51	0.24242424242424399	-8.0	-0.46218737809223864	0.010228012440930391
52	0.40404040404040487	-8.0	-0.16833011094013683	-0.000930033559597916
53	0.5656565656565657	-8.0	0.18319146463718788	-0.025672694302971227
54	0.7272727272727284	-8.0	0.4641820521657678	-0.051822931234695925
55	0.8888888888888893	-8.0	0.5755411809192595	-0.06309569505130133
56	1.050505050505052	-8.0	0.4831426508636826	-0.04796763161358291
57	1.2121212121212128	-8.0	0.22824082488141026	-0.006817528375093727
58	1.3737373737373737	-8.0	0.0	0.0
59	1.5353535353535364	-8.0	0.0	0.0
60	1.6969696969696972	-8.0	0.0	0.0
61	1.85858585858586	-8.0	0.0	0.0
62	2.0202020202020208	-8.0	0.0	0.0
63	2.1818181818181834	-8.0	0.0	0.0
64	2.3434343434343443	-8.0	0.0	0.0
65	2.505050505050505	-8.0	0.0	0.0
66	2.666666666666668	-8.0	0.0	0.0
67	2.8282828282828287	-8.0	0.0	0.0
68	2.9898989898989914	-8.0	0.0	0.0
69	3.1515151515151523	-8.0	0.0	0.0
70	3.313131313131315	-8.0	0.0	0.0
71	3.474747474747476	-8.0	0.0	0.0
72	3.6363636363636367	-8.0	0.0	0.0
73	3.7979797979797993	-8.0	0.0	0.0
74	3.9595959595959602	-8.0	0.0	0.0
75	4.121212121212123	-8.0	0.0	0.0
76	4.282828282828284	-8.0	0.0	0.0
77	4.444444444444445	-8.0	0.0	0.0
78	4.606060606060607	-8.0	0.0	0.0
79	4.767676767676768	-8.0	0.0	0.0
80	4.929292929292931	-8.0	0.0	0.0
81	5.090909090909092	-8.0	0.0	0.0
82	5.252525252525254	-8.0	0.0	0.0
83	5.414141414141415	-8.0	0.0	0.0
84	5.575757575757576	-8.0	0.0	0.0
85	5.737373737373739	-8.0	0.0	0.0
86	5.8989898989899	-8.0	0.0	0.0
87	6.060606060606062	-8.0	0.0	0.0
88	6.222222222222223	-8.0	0.0	0.0
89	6.383838383838386	-8.0	0.0	0.0
90	6.545454545454547	-8.0	0.0	0.0
91	6.707070707070708	-8.0	0.0	0.0
92	6.86868686868687	-8.0	0.0	0.0
93	7.030303030303031	-8.0	0.0	0.0
94	7.191919191919194	-8.0	0.0	0.0
95	7.353535353535355	-8.0	0.0	0.0
96	7.515151515151516	-8.0	0.0	0.0
97	7.676767676767678	-8.0	0.0	0.0
98	7.838383838383839	-8.0	0.0	0.0
99	8.0	-8.0	0.0	0.0
100	-8.0	-7.838383838383838	0.0	0.0
101	-7.838383838383838	-7.838383838383838	0.0	0.0
102	-7.6767676767676765	-7.838383838383838	0.0	0.0
103	-7.515151515151516	-7.838383838383838	0.0	0.0
104	-7.353535353535354	-7.838383838383838	0.0	0.0
105	-7.191919191919192	-7.838383838383838	0.0	0.0
106	-7.03030303030303	-7.838383838383838	0.0	0.0
107	-6.8686868686868685	-7.838383838383838	0.0	0.0
