	x	y	V
0	-8.0	-8.0	0.0
1	-7.838383838383838	-8.0	0.0
2	-7.6767676767676765	-8.0	0.0
3	-7.515151515151516	-8.0	0.0
4	-7.353535353535354	-8.0	0.0
5	-7.191919191919192	-8.0	0.0
6	-7.03030303030303	-8.0	0.0
7	-6.8686868686868685	-8.0	0.0
8	-6.707070707070707	-8.0	0.0
9	-6.545454545454545	-8.0	0.0
10	-6.383838383838384	-8.0	0.0
11	-6.222222222222222	-8.0	0.0
12	-6.0606060606060606	-8.0	0.0
13	-5.898989898989899	-8.0	0.0
14	-5.737373737373737	-8.0	0.0
15	-5.575757575757576	-8.0	0.0
16	-5.4141414141414135	-8.0	0.0
17	-5.252525252525253	-8.0	0.0
18	-5.090909090909091	-8.0	0.0
19	-4.929292929292929	-8.0	0.0
20	-4.767676767676767	-8.0	0.0
21	-4.6060606060606055	-8.0	0.0
22	-4.444444444444445	-8.0	0.0
23	-4.282828282828282	-8.0	0.0
24	-4.121212121212121	-8.0	0.0
25	-3.9595959595959593	-8.0	0.0
26	-3.7979797979797976	-8.0	0.0
27	-3.636363636363636	-8.0	0.0
28	-3.474747474747474	-8.0	0.0
29	-3.313131313131313	-8.0	0.0
30	-3.1515151515151514	-8.0	0.0
31	-2.9898989898989896	-8.0	0.0
32	-2.828282828282828	-8.0	0.0
33	-2.666666666666666	-8.0	0.0
34	-2.5050505050505043	-8.0	0.0
35	-2.3434343434343425	-8.0	0.0
36	-2.1818181818181817	-8.0	0.0
37	-2.02020202020202	-8.0	0.0
38	-1.8585858585858581	-8.0	0.0
39	-1.6969696969696964	-8.0	0.0
40	-1.5353535353535346	-8.0	0.0
41	-1.3737373737373728	-8.0	0.0
42	-1.212121212121212	-8.0	0.37088922640126293
43	-1.0505050505050502	-8.0	0.30824055554181495
44	-0.8888888888888884	-8.0	0.20768163885918006
45	-0.7272727272727266	-8.0	0.10154069405125822
46	-0.5656565656565649	-8.0	0.024221382079066708
47	-0.4040404040404031	-8.0	0.00036502823026770496
48	-0.2424242424242422	-8.0	0.036100139942645465
49	-0.08080808080808044	-8.0	0.11672503827003865
